Network,IP,Compliance,fShared,Ob90,No_Bank,RR,CI_Log,CI_Log_Lower,CI_Log_Higher,CI_Lower,CI_Higher
B,Const,0,5%,3841,1468,2.62,0.05,0.91,1.02,2.48,2.76
B,Const,0,10%,6401,1468,4.36,0.05,1.42,1.52,4.14,4.59
B,Const,0,15%,8572,1468,5.84,0.05,1.72,1.81,5.56,6.13
B,Const,0,20%,10087,1468,6.87,0.05,1.88,1.98,6.55,7.21
B,Const,0.8,5%,1828,1468,1.25,0.06,0.16,0.28,1.17,1.33
B,Const,0.8,10%,2670,1468,1.82,0.06,0.54,0.66,1.72,1.93
B,Const,0.8,15%,3496,1468,2.38,0.06,0.81,0.92,2.25,2.52
B,Const,0.8,20%,4149,1468,2.83,0.05,0.99,1.09,2.68,2.98
A,Const,0,5%,3704,1525,2.43,0.05,0.83,0.94,2.3,2.56
A,Const,0,10%,5740,1525,3.76,0.05,1.27,1.38,3.58,3.96
A,Const,0,15%,7180,1525,4.71,0.05,1.5,1.6,4.48,4.95
A,Const,0,20%,8601,1525,5.64,0.05,1.68,1.78,5.37,5.92
A,Const,0.8,5%,2494,1525,1.64,0.06,0.43,0.55,1.54,1.73
A,Const,0.8,10%,2788,1525,1.83,0.06,0.55,0.66,1.73,1.94
A,Const,0.8,15%,3347,1525,2.19,0.06,0.73,0.84,2.08,2.32
A,Const,0.8,20%,3777,1525,2.48,0.05,0.85,0.96,2.35,2.61
A,"Beta (5, 266)",0,5%,3491,1723,2.03,0.05,0.65,0.76,1.92,2.13
A,"Beta (5, 266)",0,10%,5162,1723,3,0.05,1.05,1.15,2.85,3.14
A,"Beta (5, 266)",0,15%,6552,1723,3.8,0.05,1.29,1.38,3.63,3.98
A,"Beta (5, 266)",0,20%,7768,1723,4.51,0.05,1.46,1.55,4.31,4.72
A,"Beta (5, 266)",0.8,5%,2313,1723,1.34,0.06,0.24,0.35,1.27,1.42
A,"Beta (5, 266)",0.8,10%,2586,1723,1.5,0.06,0.35,0.46,1.42,1.59
A,"Beta (5, 266)",0.8,15%,3366,1723,1.95,0.05,0.62,0.72,1.85,2.06
A,"Beta (5, 266)",0.8,20%,3630,1723,2.11,0.05,0.69,0.8,2,2.22
A,"Beta (2, 117)",0,5%,3358,1771,1.9,0.05,0.59,0.69,1.8,2
A,"Beta (2, 117)",0,10%,4620,1771,2.61,0.05,0.91,1.01,2.48,2.74
A,"Beta (2, 117)",0,15%,5678,1771,3.21,0.05,1.12,1.21,3.06,3.36
A,"Beta (2, 117)",0,20%,6811,1771,3.85,0.05,1.3,1.39,3.67,4.03
A,"Beta (2, 117)",0.8,5%,2388,1771,1.35,0.06,0.24,0.35,1.27,1.43
A,"Beta (2, 117)",0.8,10%,2621,1771,1.48,0.05,0.34,0.45,1.4,1.56
A,"Beta (2, 117)",0.8,15%,2973,1771,1.68,0.05,0.46,0.57,1.59,1.77
A,"Beta (2, 117)",0.8,20%,3580,1771,2.02,0.05,0.65,0.75,1.92,2.13