IP,Day,Median,,,,,,,,,,,,,,,,,,,
Const,1,0.0,,,,,,,,,,,,,,,,,,,
Const,2,0.0,,,,,,,,,,,,,,,,,,,
Const,3,0.1,,,,,,,,,,,,,,,,,,,
Const,4,0.1,,,,,,,,,,,,,,,,,,,
Const,5,0.2,,,,,,,,,,,,,,,,,,,
Const,6,0.3,,,,,,,,,,,,,,,,,,,
Const,7,0.4,,,,,,,,,,,,,,,,,,,
Const,8,0.6,,,,,,,,,,,,,,,,,,,
Const,9,0.9,,,,,,,,,,,,,,,,,,,
Const,10,1.0,,,,,,,,,,,,,,,,,,,
Const,11,1.2,,,,,,,,,,,,,,,,,,,
Const,12,1.4,,,,,,,,,,,,,,,,,,,
Const,13,1.6,,,,,,,,,,,,,,,,,,,
Const,14,2.0,,,,,,,,,,,,,,,,,,,
Const,15,2.3,,,,,,,,,,,,,,,,,,,
Const,16,2.6,,,,,,,,,,,,,,,,,,,
Const,17,2.9,,,,,,,,,,,,,,,,,,,
Const,18,3.2,,,,,,,,,,,,,,,,,,,
Const,19,3.5,,,,,,,,,,,,,,,,,,,
Const,20,3.9,,,,,,,,,,,,,,,,,,,
Const,21,4.2,,,,,,,,,,,,,,,,,,,
Const,22,4.6,,,,,,,,,,,,,,,,,,,
Const,23,5.0,,,,,,,,,,,,,,,,,,,
Const,24,5.5,,,,,,,,,,,,,,,,,,,
Const,25,5.9,,,,,,,,,,,,,,,,,,,
Const,26,6.2,,,,,,,,,,,,,,,,,,,
Const,27,6.7,,,,,,,,,,,,,,,,,,,
Const,28,7.2,,,,,,,,,,,,,,,,,,,
Const,29,7.6,,,,,,,,,,,,,,,,,,,
Const,30,8.1,,,,,,,,,,,,,,,,,,,
Const,31,8.4,,,,,,,,,,,,,,,,,,,
Const,32,8.8,,,,,,,,,,,,,,,,,,,
Const,33,9.2,,,,,,,,,,,,,,,,,,,
Const,34,9.5,,,,,,,,,,,,,,,,,,,
Const,35,9.8,,,,,,,,,,,,,,,,,,,
Const,36,10.2,,,,,,,,,,,,,,,,,,,
Const,37,10.8,,,,,,,,,,,,,,,,,,,
Const,38,11.0,,,,,,,,,,,,,,,,,,,
Const,39,11.5,,,,,,,,,,,,,,,,,,,
Const,40,11.8,,,,,,,,,,,,,,,,,,,
Const,41,12.2,,,,,,,,,,,,,,,,,,,
Const,42,12.5,,,,,,,,,,,,,,,,,,,
Const,43,12.9,,,,,,,,,,,,,,,,,,,
Const,44,13.3,,,,,,,,,,,,,,,,,,,
Const,45,13.6,,,,,,,,,,,,,,,,,,,
Const,46,13.9,,,,,,,,,,,,,,,,,,,
Const,47,14.2,,,,,,,,,,,,,,,,,,,
Const,48,14.3,,,,,,,,,,,,,,,,,,,
Const,49,14.5,,,,,,,,,,,,,,,,,,,
Const,50,14.9,,,,,,,,,,,,,,,,,,,
Const,51,15.3,,,,,,,,,,,,,,,,,,,
Const,52,15.6,,,,,,,,,,,,,,,,,,,
Const,53,15.7,,,,,,,,,,,,,,,,,,,
Const,54,16.0,,,,,,,,,,,,,,,,,,,
Const,55,16.1,,,,,,,,,,,,,,,,,,,
Const,56,16.1,,,,,,,,,,,,,,,,,,,
Const,57,16.3,,,,,,,,,,,,,,,,,,,
Const,58,16.3,,,,,,,,,,,,,,,,,,,
Const,59,16.6,,,,,,,,,,,,,,,,,,,
Const,60,16.5,,,,,,,,,,,,,,,,,,,
Const,61,16.5,,,,,,,,,,,,,,,,,,,
Const,62,16.5,,,,,,,,,,,,,,,,,,,
Const,63,16.6,,,,,,,,,,,,,,,,,,,
Const,64,16.8,,,,,,,,,,,,,,,,,,,
Const,65,16.9,,,,,,,,,,,,,,,,,,,
Const,66,16.9,,,,,,,,,,,,,,,,,,,
Const,67,16.9,,,,,,,,,,,,,,,,,,,
Const,68,16.9,,,,,,,,,,,,,,,,,,,
Const,69,16.9,,,,,,,,,,,,,,,,,,,
Const,70,16.9,,,,,,,,,,,,,,,,,,,
Const,71,16.9,,,,,,,,,,,,,,,,,,,
Const,72,16.8,,,,,,,,,,,,,,,,,,,
Const,73,16.8,,,,,,,,,,,,,,,,,,,
Const,74,16.7,,,,,,,,,,,,,,,,,,,
Const,75,16.7,,,,,,,,,,,,,,,,,,,
Const,76,16.7,,,,,,,,,,,,,,,,,,,
Const,77,16.7,,,,,,,,,,,,,,,,,,,
Const,78,16.7,,,,,,,,,,,,,,,,,,,
Const,79,16.7,,,,,,,,,,,,,,,,,,,
Const,80,16.7,,,,,,,,,,,,,,,,,,,
Const,81,16.7,,,,,,,,,,,,,,,,,,,
Const,82,16.7,,,,,,,,,,,,,,,,,,,
Const,83,16.7,,,,,,,,,,,,,,,,,,,
Const,84,16.7,,,,,,,,,,,,,,,,,,,
Const,85,16.7,,,,,,,,,,,,,,,,,,,
Const,86,16.7,,,,,,,,,,,,,,,,,,,
Const,87,16.7,,,,,,,,,,,,,,,,,,,
Const,88,16.8,,,,,,,,,,,,,,,,,,,
Const,89,16.8,,,,,,,,,,,,,,,,,,,
Const,90,16.9,,,,,,,,,,,,,,,,,,,
Const,91,17.0,,,,,,,,,,,,,,,,,,,
Const,92,17.2,,,,,,,,,,,,,,,,,,,
Const,93,17.4,,,,,,,,,,,,,,,,,,,
Const,94,17.5,,,,,,,,,,,,,,,,,,,
Const,95,17.7,,,,,,,,,,,,,,,,,,,
Const,96,17.7,,,,,,,,,,,,,,,,,,,
Const,97,17.9,,,,,,,,,,,,,,,,,,,
Const,98,18.0,,,,,,,,,,,,,,,,,,,
Const,99,18.5,,,,,,,,,,,,,,,,,,,
Const,100,18.9,,,,,,,,,,,,,,,,,,,
Const,101,19.0,,,,,,,,,,,,,,,,,,,
Const,102,19.0,,,,,,,,,,,,,,,,,,,
Const,103,19.0,,,,,,,,,,,,,,,,,,,
Const,104,19.2,,,,,,,,,,,,,,,,,,,
Const,105,19.8,,,,,,,,,,,,,,,,,,,
Const,106,20.1,,,,,,,,,,,,,,,,,,,
Const,107,20.7,,,,,,,,,,,,,,,,,,,
Const,108,21.2,,,,,,,,,,,,,,,,,,,
Const,109,21.5,,,,,,,,,,,,,,,,,,,
Const,110,21.7,,,,,,,,,,,,,,,,,,,
Const,111,21.8,,,,,,,,,,,,,,,,,,,
Const,112,21.9,,,,,,,,,,,,,,,,,,,
Const,113,22.3,,,,,,,,,,,,,,,,,,,
Const,114,22.8,,,,,,,,,,,,,,,,,,,
Const,115,23.0,,,,,,,,,,,,,,,,,,,
Const,116,23.0,,,,,,,,,,,,,,,,,,,
Const,117,23.0,,,,,,,,,,,,,,,,,,,
Const,118,23.0,,,,,,,,,,,,,,,,,,,
Const,119,23.4,,,,,,,,,,,,,,,,,,,
Const,120,23.3,,,,,,,,,,,,,,,,,,,
Const,121,23.1,,,,,,,,,,,,,,,,,,,
Const,122,23.0,,,,,,,,,,,,,,,,,,,
Const,123,23.0,,,,,,,,,,,,,,,,,,,
Const,124,22.9,,,,,,,,,,,,,,,,,,,
Const,125,22.9,,,,,,,,,,,,,,,,,,,
Const,126,22.6,,,,,,,,,,,,,,,,,,,
Const,127,22.6,,,,,,,,,,,,,,,,,,,
Const,128,22.3,,,,,,,,,,,,,,,,,,,
Const,129,22.0,,,,,,,,,,,,,,,,,,,
Const,130,21.8,,,,,,,,,,,,,,,,,,,
Const,131,21.7,,,,,,,,,,,,,,,,,,,
Const,132,21.3,,,,,,,,,,,,,,,,,,,
Const,133,21.2,,,,,,,,,,,,,,,,,,,
Const,134,21.0,,,,,,,,,,,,,,,,,,,
Const,135,20.9,,,,,,,,,,,,,,,,,,,
Const,136,20.4,,,,,,,,,,,,,,,,,,,
Const,137,20.4,,,,,,,,,,,,,,,,,,,
Const,138,20.1,,,,,,,,,,,,,,,,,,,
Const,139,19.7,,,,,,,,,,,,,,,,,,,
Const,140,19.4,,,,,,,,,,,,,,,,,,,
Const,141,18.9,,,,,,,,,,,,,,,,,,,
Const,142,18.6,,,,,,,,,,,,,,,,,,,
Const,143,18.3,,,,,,,,,,,,,,,,,,,
Const,144,18.0,,,,,,,,,,,,,,,,,,,
Const,145,17.8,,,,,,,,,,,,,,,,,,,
Const,146,17.8,,,,,,,,,,,,,,,,,,,
Const,147,17.4,,,,,,,,,,,,,,,,,,,
Const,148,17.1,,,,,,,,,,,,,,,,,,,
Const,149,16.9,,,,,,,,,,,,,,,,,,,
Const,150,16.7,,,,,,,,,,,,,,,,,,,
Const,151,16.6,,,,,,,,,,,,,,,,,,,
Const,152,16.4,,,,,,,,,,,,,,,,,,,
Const,153,16.4,,,,,,,,,,,,,,,,,,,
Const,154,15.9,,,,,,,,,,,,,,,,,,,
Const,155,15.7,,,,,,,,,,,,,,,,,,,
Const,156,15.6,,,,,,,,,,,,,,,,,,,
Const,157,15.6,,,,,,,,,,,,,,,,,,,
Const,158,15.1,,,,,,,,,,,,,,,,,,,
Const,159,14.9,,,,,,,,,,,,,,,,,,,
Const,160,14.7,,,,,,,,,,,,,,,,,,,
Const,161,14.2,,,,,,,,,,,,,,,,,,,
Const,162,13.9,,,,,,,,,,,,,,,,,,,
Const,163,13.5,,,,,,,,,,,,,,,,,,,
Const,164,13.2,,,,,,,,,,,,,,,,,,,
Const,165,12.8,,,,,,,,,,,,,,,,,,,
Const,166,12.4,,,,,,,,,,,,,,,,,,,
Const,167,12.2,,,,,,,,,,,,,,,,,,,
Const,168,11.9,,,,,,,,,,,,,,,,,,,
Const,169,11.6,,,,,,,,,,,,,,,,,,,
Const,170,11.2,,,,,,,,,,,,,,,,,,,
Const,171,10.9,,,,,,,,,,,,,,,,,,,
Const,172,10.5,,,,,,,,,,,,,,,,,,,
Const,173,10.3,,,,,,,,,,,,,,,,,,,
Const,174,10.1,,,,,,,,,,,,,,,,,,,
Const,175,9.7,,,,,,,,,,,,,,,,,,,
Const,176,9.5,,,,,,,,,,,,,,,,,,,
Const,177,9.3,,,,,,,,,,,,,,,,,,,
Const,178,8.8,,,,,,,,,,,,,,,,,,,
Const,179,8.6,,,,,,,,,,,,,,,,,,,
Const,180,8.4,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",1,0.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",2,0.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",3,0.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",4,0.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",5,0.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",6,0.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",7,0.4,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",8,0.6,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",9,0.7,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",10,0.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",11,1.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",12,1.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",13,1.4,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",14,1.7,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",15,2.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",16,2.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",17,2.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",18,2.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",19,3.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",20,3.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",21,3.7,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",22,4.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",23,4.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",24,4.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",25,5.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",26,5.6,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",27,6.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",28,6.4,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",29,6.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",30,7.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",31,7.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",32,8.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",33,8.6,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",34,9.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",35,9.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",36,9.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",37,10.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",38,10.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",39,10.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",40,11.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",41,11.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",42,11.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",43,12.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",44,12.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",45,12.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",46,13.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",47,13.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",48,13.6,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",49,13.7,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",50,14.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",51,14.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",52,14.7,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",53,14.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",54,15.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",55,15.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",56,15.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",57,16.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",58,16.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",59,16.6,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",60,16.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",61,16.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",62,17.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",63,17.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",64,16.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",65,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",66,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",67,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",68,17.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",69,17.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",70,17.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",71,17.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",72,17.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",73,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",74,17.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",75,17.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",76,17.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",77,17.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",78,17.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",79,17.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",80,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",81,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",82,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",83,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",84,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",85,17.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",86,17.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",87,17.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",88,17.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",89,17.4,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",90,17.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",91,17.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",92,17.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",93,17.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",94,17.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",95,17.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",96,17.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",97,18.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",98,18.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",99,18.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",100,19.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",101,19.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",102,19.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",103,20.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",104,20.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",105,20.7,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",106,21.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",107,22.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",108,22.4,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",109,22.4,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",110,22.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",111,22.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",112,23.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",113,23.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",114,23.7,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",115,23.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",116,23.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",117,23.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",118,24.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",119,24.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",120,23.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",121,23.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",122,23.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",123,23.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",124,23.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",125,22.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",126,22.7,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",127,22.3,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",128,22.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",129,22.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",130,21.8,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",131,21.1,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",132,21.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",133,20.9,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",134,20.2,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",135,20.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",136,19.7,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",137,19.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",138,19.5,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",139,19.0,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",140,18.6,,,,,,,,,,,,,,,,,,,
"Beta (5, 266)",141,17.8,,,,,,,,,,,,,,,,,,,
