Size,fShared,Ob90,No_Bank,RR,CI_Log,CI_Log_Lower,CI_Log_Higher,CI_Lower,CI_Higher
10,10%,48,3,19.25,1.16,1.79,4.12,6.02,61.6
24,10%,154,8,16,0.71,2.07,3.48,7.9,32.39
32,10%,230,21,10.95,0.44,1.96,2.83,7.07,16.97
40,10%,309,39,8.6,0.32,1.83,2.47,6.23,11.85
46,10%,324,45,7.92,0.3,1.77,2.37,5.87,10.69
50,10%,404,47,7.2,0.29,1.69,2.26,5.39,9.61
65,10%,515,97,6.24,0.2,1.63,2.03,5.12,7.61
73,10%,593,95,5.31,0.2,1.47,1.87,4.36,6.47
80,10%,607,153,3.97,0.15,1.22,1.53,3.4,4.63
90,10%,697,194,3.59,0.13,1.15,1.41,3.15,4.1
110,10%,798,295,2.71,0.1,0.89,1.1,2.45,2.99
160,10%,912,522,1.75,0.06,0.5,0.62,1.64,1.86